"filename", "language", "Python", "Ini", "toml", "Markdown", "pip requirements", "XML", "comment", "blank", "total"
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\alembic.ini", "Ini", 0, 116, 0, 0, 0, 0, 0, 26, 142
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\alembic\env.py", "Python", 36, 0, 0, 0, 0, 0, 12, 20, 68
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\alembic\versions\5dd0097d5fa5_create_tables.py", "Python", 21, 0, 0, 0, 0, 0, 14, 8, 43
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\alembic\versions\81bc94df4600_fixed_teams.py", "Python", 11, 0, 0, 0, 0, 0, 14, 8, 33
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\alembic\versions\9e2b06e3e1b4_fixed_test.py", "Python", 11, 0, 0, 0, 0, 0, 14, 8, 33
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\app\cruds\teams_crud\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\app\cruds\teams_crud\crud.py", "Python", 86, 0, 0, 0, 0, 0, 0, 30, 116
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\app\db\base.py", "Python", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\app\db\models\teams.py", "Python", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\app\db\models\teams_enums\enums.py", "Python", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\app\db\session.py", "Python", 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\app\routes\teams_router\router.py", "Python", 54, 0, 0, 0, 0, 0, 0, 11, 65
